Customer_ID,Gender,Age,Browsing_Time,Purchase_Amount,Number_of_Items,Discount_Applied,Total_Transactions,Category,Satisfaction_Score
1,Male,65,46.55,231.81,6,17,16,Clothing,2
2,Female,19,98.8,472.78,8,15,43,Books,4
3,Male,23,79.48,338.44,1,28,31,Electronics,1
4,Male,45,95.75,37.13,7,43,27,Home & Kitchen,5
5,Male,46,33.36,235.53,3,10,33,Books,3
6,Female,43,83.39,123.92,9,5,29,Clothing,2
7,Male,42,32.42,237.55,6,2,8,Clothing,1
8,Male,29,112.75,230.46,5,13,33,Clothing,3
9,Male,22,76.73,293.16,8,1,41,Books,4
10,Female,51,39.62,181.6,8,31,19,Clothing,5
11,Male,65,33.07,86.31,3,30,21,Books,3
12,Male,54,23.72,254.34,2,10,41,Clothing,5
13,Male,32,83.66,415.95,2,21,21,Beauty,3
14,Male,61,27.03,333.69,5,2,25,Beauty,4
15,Female,53,71.84,172.49,7,49,42,Electronics,1
16,Male,32,32.49,468.08,8,30,23,Clothing,5
17,Female,60,79.77,456.54,8,32,11,Electronics,5
18,Female,65,97.98,108.63,8,23,33,Books,1
19,Female,40,93.59,24.51,3,0,20,Electronics,5
20,Male,23,91.54,371.95,2,43,25,Clothing,2
21,Female,63,23.34,414.67,4,14,26,Books,1
22,Male,67,11.52,484.09,1,36,40,Books,4
23,Female,61,84.17,445.47,3,26,12,Beauty,3
24,Female,60,44.83,302.26,9,37,32,Books,3
25,Female,62,52.45,267.38,7,47,33,Books,1
26,Female,38,4.71,18.78,7,26,10,Electronics,2
27,Female,40,31.89,127.09,1,43,4,Books,4
28,Female,60,5.01,232.51,7,11,15,Home & Kitchen,3
29,Female,33,105.62,316.11,7,2,6,Beauty,3
30,Female,64,29.96,280.84,4,29,27,Beauty,2
31,Male,32,67.32,372.6,7,31,5,Books,5
32,Male,42,5.64,143.48,8,22,5,Electronics,1
33,Female,53,80.35,284.65,3,1,18,Beauty,2
34,Female,28,39.44,48.63,2,6,28,Beauty,2
35,Female,68,107.85,209.76,7,33,35,Home & Kitchen,2
36,Male,32,106.69,376.33,5,31,22,Books,2
37,Female,21,39.71,348.23,5,38,34,Beauty,5
38,Male,38,108.21,495.37,5,31,4,Beauty,4
39,Male,30,119.54,142.56,7,42,18,Beauty,2
40,Male,39,99.22,251.6,9,42,41,Beauty,2
41,Male,36,101.54,168.12,8,13,26,Electronics,1
42,Male,51,30.63,223.1,6,2,42,Clothing,3
43,Female,31,69.63,429.19,7,45,22,Home & Kitchen,5
44,Female,21,9.0,343.68,9,31,47,Electronics,2
45,Female,65,12.3,441.81,6,42,33,Home & Kitchen,4
46,Female,69,119.87,105.74,1,35,43,Beauty,4
47,Female,63,39.87,437.31,4,16,14,Home & Kitchen,4
48,Male,44,90.03,34.58,8,47,31,Books,1
49,Female,46,96.99,444.86,7,2,10,Books,4
50,Female,64,103.1,167.89,3,9,24,Clothing,1
51,Male,45,119.72,160.72,3,46,21,Clothing,5
52,Female,52,29.74,258.48,3,39,48,Home & Kitchen,4
53,Male,25,5.8,470.64,1,17,8,Electronics,3
54,Female,33,49.93,28.65,1,2,32,Electronics,2
55,Male,59,16.48,179.35,6,38,31,Beauty,5
56,Female,53,3.67,429.0,1,9,34,Electronics,3
57,Female,47,43.89,201.05,5,8,23,Clothing,5
58,Male,35,94.26,103.58,4,45,25,Electronics,4
59,Male,19,68.38,215.27,5,45,7,Beauty,5
60,Male,66,38.22,195.85,7,10,19,Books,5
61,Male,30,78.87,458.13,6,32,7,Electronics,5
62,Male,21,28.61,382.16,9,35,47,Electronics,1
63,Male,43,2.71,255.03,6,25,8,Clothing,3
64,Male,42,91.96,494.24,9,26,14,Home & Kitchen,4
65,Male,47,75.23,235.31,4,37,1,Books,2
66,Female,28,91.71,33.83,1,21,13,Home & Kitchen,4
67,Female,24,5.63,134.83,1,25,3,Beauty,4
68,Male,48,100.62,220.85,7,21,28,Beauty,1
69,Female,61,74.72,82.67,3,4,38,Home & Kitchen,1
70,Female,27,68.04,474.04,2,34,15,Clothing,5
71,Female,56,75.33,384.59,6,1,36,Clothing,4
72,Female,30,103.87,137.8,6,34,3,Clothing,3
73,Male,48,70.85,297.45,7,8,4,Books,1
74,Female,24,70.13,362.12,5,48,5,Beauty,1
75,Male,66,118.89,470.93,8,17,26,Beauty,3
76,Female,59,91.05,441.41,7,42,25,Beauty,1
77,Female,59,53.63,260.02,2,11,10,Books,3
78,Female,53,85.18,388.45,1,2,8,Beauty,2
79,Male,37,47.32,283.26,9,17,12,Home & Kitchen,3
80,Female,21,28.24,278.59,5,37,3,Electronics,2
81,Male,24,72.03,61.8,5,6,27,Books,5
82,Female,18,111.45,67.44,4,32,23,Electronics,5
83,Male,61,111.57,267.12,2,5,40,Home & Kitchen,1
84,Female,62,41.69,138.09,5,17,33,Clothing,3
85,Male,59,63.79,15.41,2,44,14,Clothing,1
86,Male,64,26.18,362.81,7,21,23,Clothing,3
87,Female,30,119.48,21.08,9,38,31,Books,1
88,Male,39,117.75,299.66,9,8,13,Clothing,5
89,Female,38,78.29,271.9,6,34,12,Books,5
90,Female,39,96.73,484.56,1,22,35,Books,1
91,Female,45,86.1,244.69,6,11,18,Electronics,3
92,Female,26,71.59,36.48,5,23,21,Clothing,4
93,Female,43,7.35,278.09,4,49,45,Beauty,3
94,Female,26,55.12,421.34,6,39,47,Clothing,1
95,Female,32,81.3,498.44,6,8,42,Clothing,3
96,Female,27,81.63,218.02,6,12,1,Clothing,2
97,Female,41,45.4,163.55,2,39,38,Beauty,3
98,Female,59,113.06,453.79,7,41,41,Beauty,5
99,Female,25,20.92,99.66,4,16,42,Books,5
100,Male,41,60.54,309.64,9,6,47,Beauty,2
101,Male,33,83.22,205.83,2,16,9,Books,3
102,Female,66,83.96,25.34,5,49,23,Electronics,4
103,Female,43,78.19,176.91,4,23,14,Books,3
104,Female,44,33.76,136.29,9,1,11,Clothing,5
105,Female,54,19.59,344.62,4,34,7,Home & Kitchen,5
106,Female,21,76.68,474.65,8,27,31,Home & Kitchen,1
107,Female,67,72.32,137.68,8,18,24,Clothing,5
108,Female,41,22.34,406.68,6,32,26,Books,1
109,Female,36,84.91,32.4,6,20,30,Clothing,5
110,Male,53,55.17,271.37,8,9,34,Beauty,5
111,Female,56,80.46,39.92,9,45,46,Books,4
112,Male,27,100.65,467.35,5,44,38,Clothing,1
113,Female,42,21.2,384.34,1,8,5,Beauty,1
114,Female,35,3.28,330.69,1,37,5,Beauty,5
115,Male,36,93.71,412.83,2,5,19,Books,1
116,Female,53,73.55,325.52,5,41,38,Electronics,5
117,Male,27,84.26,484.63,4,34,28,Electronics,5
118,Female,50,100.74,358.41,1,17,26,Beauty,3
119,Female,67,96.53,462.71,4,18,42,Electronics,1
120,Male,22,115.35,260.98,4,4,23,Beauty,2
121,Female,64,64.78,62.95,4,24,46,Electronics,1
122,Male,66,59.13,266.45,1,10,49,Beauty,1
123,Female,52,48.82,67.8,9,9,30,Beauty,4
124,Male,61,19.29,298.28,3,16,3,Beauty,2
125,Male,51,69.14,243.83,4,35,28,Beauty,2
126,Female,50,33.96,313.17,5,25,33,Home & Kitchen,4
127,Female,38,110.64,9.97,7,30,42,Electronics,4
128,Male,34,70.4,101.45,6,31,3,Beauty,1
129,Female,39,71.55,248.21,5,20,5,Clothing,3
130,Female,65,43.24,475.5,8,17,19,Books,4
131,Female,54,7.19,194.89,1,17,42,Clothing,2
132,Male,32,4.78,215.06,7,0,48,Clothing,2
133,Male,52,51.38,358.77,6,13,1,Home & Kitchen,1
134,Male,45,11.06,303.88,5,7,38,Electronics,3
135,Male,24,73.21,152.97,7,1,9,Home & Kitchen,5
136,Male,49,105.84,208.35,3,14,5,Electronics,4
137,Male,28,106.07,112.76,1,33,46,Beauty,4
138,Male,27,79.43,483.18,9,35,42,Home & Kitchen,1
139,Male,26,26.14,69.66,2,0,34,Books,3
140,Male,31,103.7,189.06,3,20,37,Electronics,2
141,Female,30,106.45,17.79,8,41,33,Home & Kitchen,2
142,Male,42,24.4,114.78,9,0,25,Books,5
143,Female,19,88.75,391.33,3,31,42,Clothing,2
144,Female,52,35.1,104.58,6,19,29,Beauty,4
145,Female,24,96.51,44.63,7,46,25,Beauty,5
146,Male,38,119.67,239.85,1,35,9,Clothing,3
147,Male,35,4.57,9.93,7,38,3,Home & Kitchen,5
148,Male,20,107.79,46.96,4,29,15,Clothing,3
149,Male,59,75.09,404.77,5,6,4,Books,2
150,Female,56,116.83,386.88,8,21,45,Electronics,1
151,Male,58,56.34,457.99,4,49,38,Home & Kitchen,5
152,Male,66,101.84,427.99,4,44,20,Electronics,5
153,Male,28,8.42,343.17,8,9,49,Clothing,4
154,Male,56,40.9,30.9,5,7,23,Beauty,4
155,Male,41,8.97,392.51,6,26,37,Electronics,3
156,Female,63,117.07,423.53,5,9,47,Electronics,1
157,Male,36,98.22,400.55,1,13,8,Beauty,4
158,Female,21,102.45,256.7,7,45,37,Electronics,4
159,Male,43,112.62,120.29,6,10,45,Electronics,2
160,Female,55,11.13,423.44,2,5,33,Beauty,2
161,Male,59,46.89,364.95,7,20,33,Beauty,4
162,Male,49,9.45,490.48,6,32,7,Clothing,3
163,Female,56,26.08,82.07,5,18,22,Clothing,1
164,Female,62,28.29,116.7,8,38,5,Electronics,4
165,Female,63,56.82,109.84,5,23,46,Home & Kitchen,3
166,Male,53,32.96,397.31,2,17,15,Clothing,3
167,Female,57,13.02,97.52,6,34,21,Clothing,4
168,Male,54,20.93,38.0,1,42,25,Home & Kitchen,3
169,Male,50,18.53,499.29,5,36,17,Home & Kitchen,5
170,Female,53,116.8,17.28,6,18,7,Beauty,3
171,Female,20,91.36,418.45,7,23,19,Clothing,4
172,Male,26,116.16,185.86,2,33,7,Books,3
173,Male,25,53.33,421.6,1,21,40,Books,4
174,Female,50,34.13,279.54,6,3,45,Electronics,2
175,Female,23,96.0,451.31,3,9,24,Clothing,4
176,Female,58,39.82,463.47,5,1,11,Books,3
177,Male,56,36.63,9.5,2,7,41,Clothing,4
178,Male,21,28.67,42.33,1,32,1,Clothing,1
179,Male,30,16.43,128.93,1,37,32,Books,4
180,Male,66,31.52,336.31,4,42,40,Clothing,4
181,Male,19,43.28,444.69,2,27,44,Home & Kitchen,1
182,Male,22,81.21,232.67,1,9,2,Electronics,1
183,Female,61,8.45,305.45,6,44,15,Beauty,1
184,Male,44,26.05,98.31,4,0,21,Books,5
185,Male,49,97.27,403.46,7,33,24,Beauty,4
186,Male,38,18.48,483.83,6,2,17,Electronics,1
187,Female,25,41.77,137.96,5,8,47,Home & Kitchen,1
188,Male,55,103.89,249.94,2,4,9,Home & Kitchen,2
189,Male,25,19.44,47.63,5,41,35,Home & Kitchen,5
190,Female,67,10.85,281.77,9,9,20,Home & Kitchen,4
191,Male,20,58.66,253.88,9,11,19,Books,3
192,Male,61,36.99,76.5,2,17,18,Books,5
193,Male,20,68.05,223.82,7,20,20,Clothing,5
194,Male,39,96.65,170.38,4,20,30,Clothing,2
195,Male,23,17.32,263.31,3,0,40,Electronics,4
196,Female,19,70.1,294.9,1,2,1,Clothing,4
197,Female,40,61.16,9.21,3,4,24,Electronics,1
198,Female,61,18.15,381.7,9,24,24,Electronics,1
199,Male,19,75.26,357.94,9,48,47,Electronics,5
200,Male,55,33.56,186.31,7,7,19,Home & Kitchen,2
201,Male,34,59.05,31.2,3,16,30,Beauty,4
202,Female,52,10.79,378.69,3,8,26,Beauty,2
203,Male,51,55.69,477.81,4,31,42,Books,3
204,Male,40,37.47,123.88,7,5,44,Electronics,4
205,Female,47,98.86,165.14,7,48,38,Home & Kitchen,1
206,Male,69,7.78,95.99,2,39,29,Clothing,5
207,Female,25,50.81,290.58,5,20,13,Clothing,2
208,Female,39,55.55,81.65,7,6,4,Books,1
209,Female,61,87.28,181.32,7,6,45,Books,5
210,Male,53,69.34,350.02,6,46,17,Electronics,1
211,Male,22,80.4,282.26,8,38,33,Electronics,4
212,Male,30,93.47,196.3,3,26,5,Clothing,2
213,Male,46,103.6,213.02,1,7,28,Clothing,3
214,Male,48,38.35,283.24,3,8,24,Clothing,1
215,Male,64,65.02,7.9,2,27,17,Clothing,2
216,Male,33,100.97,43.86,2,14,39,Beauty,4
217,Female,59,118.74,441.22,2,1,48,Electronics,1
218,Male,47,106.85,43.55,5,6,40,Electronics,4
219,Female,33,45.2,354.87,1,46,44,Clothing,3
220,Male,29,24.22,460.42,4,17,46,Home & Kitchen,3
221,Male,34,59.24,138.99,5,21,11,Clothing,5
222,Male,33,89.26,188.39,2,49,12,Books,5
223,Female,29,59.62,286.62,5,9,13,Home & Kitchen,5
224,Female,25,58.5,441.45,4,49,8,Books,4
225,Female,37,100.75,471.24,8,32,1,Home & Kitchen,5
226,Female,20,44.01,371.08,1,6,9,Books,2
227,Male,33,103.32,47.88,5,2,28,Clothing,4
228,Female,47,49.41,336.23,1,13,2,Clothing,4
229,Male,62,40.06,208.1,4,43,14,Home & Kitchen,5
230,Male,40,55.02,238.0,8,45,13,Books,5
231,Female,45,91.73,29.33,1,35,48,Beauty,4
232,Female,68,15.99,99.58,2,12,2,Home & Kitchen,3
233,Female,57,24.37,396.3,1,15,4,Home & Kitchen,3
